type	width	height
1	9	3
1	8	3
1	9	3
2	3	9
1	8	4
1	9	2
1	7	3
2	3	9
4	1	3
1	8	4
1	7	1
4	4	2
4	4	4
4	2	3
2	4	8
4	2	3
1	7	1
1	8	4
1	9	4
1	9	2
1	8	3
1	9	4
4	5	5
1	7	2
1	9	1
4	4	4
1	8	2
1	9	2
3	9	6
1	9	4
3	8	6
4	3	5
1	9	4
1	9	3
1	9	2
3	5	8
1	8	4
1	7	3
3	6	8
1	7	2
1	8	2
2	1	10
3	9	5
1	9	2
1	7	2
4	3	3
1	7	4
1	7	1
1	7	4
1	9	2
1	6	3
1	8	4
1	8	4
2	5	7
1	8	3
1	8	3
3	7	8
1	8	3
1	9	3
3	8	5
1	9	1
1	7	2
1	9	1
1	9	4
1	7	3
4	2	1
3	9	8
2	4	7
1	7	1
4	2	5
1	7	1
1	7	4
1	8	3
1	8	1
1	9	2
1	7	2
3	5	6
1	8	2
1	7	4
1	8	2
